    序号  正整数    平方根 迭代次数
       1       0         0       1
       2       1         1       0
       3       2         2       0
       4       2       1.5       0
       5       2     1.417       0
       6       2     1.414       0
       7       3         3       0
       8       3         2       0
       9       3      1.75       0
      10       3     1.732       0
      11       4         4       0
      12       4       2.5       0
      13       4      2.05       0
      14       4     2.001       0
      15       5         5       0
      16       5         3       0
      17       5     2.333       0
      18       5     2.238       0
      19       5     2.236       0
      20       6         6       0
      21       6       3.5       0
      22       6     2.607       0
      23       6     2.454       0
      24       6     2.449       0
      25       7         7       0
      26       7         4       0
      27       7     2.875       0
      28       7     2.655       0
      29       7     2.646       0
      30       8         8       0
      31       8       4.5       0
      32       8     3.139       0
      33       8     2.844       0
      34       8     2.828       0
      35       9         9       0
      36       9         5       0
      37       9       3.4       0
      38       9     3.024       0
      39       9         3       0
